page_pic_id,page_id,pic_id,seq_num0
1,1,1,80000
2,1,2,50000
3,1,3,60000
4,1,4,70000
5,1,5,40000
6,1,6,90000
7,1,7,100000
8,1,8,110000
9,1,9,120000
10,1,10,130000
11,1,11,130000
12,1,12,140000
13,1,13,150000
14,1,14,160000
15,1,15,170000
16,1,16,180000
17,1,17,190000
18,2,18,100
19,2,19,200
20,2,20,300
21,3,21,20000
22,3,22,30000
23,3,23,40000
24,1,24,20000
25,1,25,1000000
26,1,26,20000
27,1,27,30000
28,1,28,40000
29,1,29,10000
30,1,30,10000
31,4,31,1000
32,3,32,10000
33,4,33,10000
34,4,34,10000
35,4,35,10000
36,4,36,10000
37,4,37,20000
38,4,38,20000
39,4,39,40000
40,1,40,10000
41,1,41,10000
42,1,42,10000
43,1,43,1000
44,1,44,2000
45,1,45,900
46,1,46,100
47,4,47,20
48,4,48,30
49,4,49,10
50,1,50,200
51,1,51,200
52,1,65,200
53,1,53,200
54,1,54,100
55,3,55,100
56,3,56,200
57,3,57,300
58,1,58,200
59,1,59,200
60,1,60,60
61,1,61,200
62,1,62,200
63,1,63,50
64,1,64,80
65,1,52,90
66,1,66,200
67,3,67,10
68,3,68,10
69,3,69,10
70,1,70,10
71,1,71,10
72,1,72,50
73,1,73,20
74,2,74,10
75,2,75,10
76,2,76,10
77,1,77,1
78,1,78,2
79,3,79,5
80,3,80,4
